cipher,image,W,H,bytes,enc_mean_ns,enc_median_ns,enc_stddev_ns,enc_cv,enc_throughput_MBs,enc_cycles_per_byte,enc_ipc,dec_mean_ns,dec_throughput_MBs,dec_cycles_per_byte,rss_delta_kb,entropy,npcr,uaci,corr_h,corr_v,corr_d,chi2,psnr_decrypt,lossless,loc,reproducible,ciphertext_hash
AES-256-CTR,lena_128,128,128,49152,17095.1,13945.0,7258.7,0.4246,2742.02,0.5988,0.000,13865.7,3380.65,0.4687,0,7.996397,100.0000,29.1332,-0.027164,-0.002565,-0.012509,245.00,inf,1,38,1,716b3f7662e3e663
AES-256-GCM,lena_128,128,128,49152,16457.7,11595.0,12549.9,0.7626,2848.21,0.5698,0.000,28375.4,1651.96,1.0514,0,7.995975,100.0000,29.2423,0.000216,0.013529,0.009199,274.61,9.00,0,58,1,a0603af27cd97ab8
ChaCha20-Poly1305,lena_128,128,128,49152,43398.0,38360.0,7740.0,0.1783,1080.12,1.7293,0.000,76955.3,609.12,3.1615,0,7.996208,100.0000,29.1782,0.023481,-0.000077,-0.000771,257.40,inf,1,28,1,57fd62194969e039
Fridrich-1998,lena_128,128,128,49152,449991.9,411909.0,117297.9,0.2607,104.17,19.0174,0.000,438888.4,106.80,18.5965,0,7.996170,100.0000,29.3006,0.008800,0.009143,-0.016357,260.90,inf,1,82,1,025b0d431160bfc6
YeHuang-2018,lena_128,128,128,49152,5536927.9,4525163.0,3547366.4,0.6407,8.47,236.3545,0.000,5324835.9,8.80,227.2868,0,7.996177,100.0000,29.3042,0.002576,0.000255,0.014806,260.36,9.17,0,128,1,34b8578ba3cfbc38
LSCM-2020,lena_128,128,128,49152,4092988.7,3361236.0,2784619.9,0.6803,11.45,174.6556,0.000,2900502.6,16.16,123.7421,0,7.996468,100.0000,29.2380,-0.009993,0.002968,0.005708,242.36,13.57,0,112,1,bceff148e6d097bb
AES-256-CTR,baboon_128,128,128,49152,29617.3,18025.0,28087.8,0.9484,1582.69,1.1193,0.000,14956.5,3134.10,0.5214,0,7.996129,100.0000,31.8683,-0.000318,-0.013960,-0.003125,265.26,inf,1,38,1,fbbdff2a9e240a13
AES-256-GCM,baboon_128,128,128,49152,20594.1,11880.0,15689.4,0.7618,2276.13,0.7402,0.000,1132405.5,41.39,48.2319,0,7.996359,100.0000,31.8164,-0.006681,-0.012408,-0.019482,248.44,8.18,0,58,1,436a4423dac8e1c6
ChaCha20-Poly1305,baboon_128,128,128,49152,41992.0,39440.0,5607.0,0.1335,1116.28,1.6568,0.000,76849.0,609.96,3.1565,0,7.996111,100.0000,31.8240,-0.018640,0.015418,0.040790,264.45,inf,1,28,1,674523ab4ec8357e
Fridrich-1998,baboon_128,128,128,49152,360654.3,356505.0,21671.3,0.0601,129.97,15.2357,0.000,444966.3,105.35,18.8075,0,7.996312,100.0000,32.0360,0.012447,-0.000720,-0.021990,253.32,inf,1,82,1,3be1cf64a2679c55
YeHuang-2018,baboon_128,128,128,49152,5735993.3,4548740.0,4421840.0,0.7709,8.17,244.8853,0.000,5459096.7,8.59,233.0366,0,7.996148,100.0000,32.1377,0.010014,-0.026685,0.025883,263.64,8.24,0,128,1,c0fd2e023376f37a
LSCM-2020,baboon_128,128,128,49152,3808552.1,2826918.0,3338326.3,0.8765,12.31,162.5316,0.000,3012991.0,15.56,128.5475,0,7.996559,100.0000,31.9677,-0.024850,0.024528,0.000155,234.92,8.61,0,112,1,f5c1d8b9951b0bd5
AES-256-CTR,noise_128,128,128,49152,31187.7,14578.0,26113.5,0.8373,1502.99,1.1693,0.000,24726.3,1895.75,0.9230,0,7.996116,100.0000,33.4720,-0.041063,-0.007258,-0.009077,264.04,inf,1,38,1,7ad41bf5bd74adab
AES-256-GCM,noise_128,128,128,49152,16649.1,12945.0,9325.0,0.5601,2815.46,0.5657,0.000,29774.1,1574.35,1.1328,0,7.996633,100.0000,33.3894,0.010211,-0.008327,0.022424,228.65,7.76,0,58,1,666866702b43de8e
ChaCha20-Poly1305,noise_128,128,128,49152,43694.3,41213.0,6316.8,0.1446,1072.80,1.7282,0.000,95858.9,489.00,3.9558,0,7.996762,100.0000,33.4306,0.000593,0.009441,0.002796,219.86,inf,1,28,1,1c6f5aaba4e94876
Fridrich-1998,noise_128,128,128,49152,374151.5,361941.0,28900.1,0.0772,125.28,15.8226,0.000,434217.3,107.95,18.3936,0,7.996875,100.0000,33.4198,0.026046,-0.009434,-0.021029,212.45,inf,1,82,1,effb7233c6336f63
