chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
322.887,logistic_xor,0.00536694,-0.0382416,0.00647945,1,7.99993,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
248.239,logistic_permute_xor,-0.00083402,0.00117043,0.000233675,0.00397205,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6059,0.999999,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
249.865,arnold_xor,0.006118,-0.0364858,0.00466832,0.00390625,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
246.823,tiled_arnold_xor,0.00550745,-0.0348819,0.00576026,0.0120443,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
230.373,tent_block_xor,-0.000982243,-0.00177817,-0.00147273,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6171,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
238.261,sine_xor,0.0739947,-0.0724889,0.0797312,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.3037,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
282.858,coupled_lattice_xor,0.145258,0.0307865,0.148521,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4116,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
228.991,hamiltonian_lattice_xor,0.00328686,0.00116489,0.000750087,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.5381,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
244.799,chaotic_seed_mix_xor,-0.000149921,-0.000820277,-0.00215818,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6114,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
259.904,aes_ctr,0.00148779,-0.00022701,-7.67478e-05,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6154,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
265.503,chacha20,-4.66246e-05,0.00109933,-0.00154947,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6113,1,full,3.17891e-05,1,full__gradient_1024x1024__rep1,1.24663e-07
322.887,logistic_xor,0.00536694,-0.0382416,0.00647945,1,7.99993,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
248.239,logistic_permute_xor,-0.00083402,0.00117043,0.000233675,0.00397205,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6059,0.999999,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
249.865,arnold_xor,0.006118,-0.0364858,0.00466832,0.00390625,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
246.823,tiled_arnold_xor,0.00550745,-0.0348819,0.00576026,0.0120443,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
230.373,tent_block_xor,-0.000982243,-0.00177817,-0.00147273,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6171,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
238.261,sine_xor,0.0739947,-0.0724889,0.0797312,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.3037,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
282.858,coupled_lattice_xor,0.145258,0.0307865,0.148521,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4116,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
228.991,hamiltonian_lattice_xor,0.00328686,0.00116489,0.000750087,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.5381,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
244.799,chaotic_seed_mix_xor,-0.000149921,-0.000820277,-0.00215818,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6114,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
259.904,aes_ctr,0.00148779,-0.00022701,-7.67478e-05,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6154,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
265.503,chacha20,-4.66246e-05,0.00109933,-0.00154947,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6113,1,full,3.17891e-05,2,full__gradient_1024x1024__rep2,1.24663e-07
322.887,logistic_xor,0.00536694,-0.0382416,0.00647945,1,7.99993,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
248.239,logistic_permute_xor,-0.00083402,0.00117043,0.000233675,0.00397205,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6059,0.999999,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
249.865,arnold_xor,0.006118,-0.0364858,0.00466832,0.00390625,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
246.823,tiled_arnold_xor,0.00550745,-0.0348819,0.00576026,0.0120443,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
230.373,tent_block_xor,-0.000982243,-0.00177817,-0.00147273,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6171,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
238.261,sine_xor,0.0739947,-0.0724889,0.0797312,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.3037,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
282.858,coupled_lattice_xor,0.145258,0.0307865,0.148521,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4116,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
228.991,hamiltonian_lattice_xor,0.00328686,0.00116489,0.000750087,1,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.5381,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
244.799,chaotic_seed_mix_xor,-0.000149921,-0.000820277,-0.00215818,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6114,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
259.904,aes_ctr,0.00148779,-0.00022701,-7.67478e-05,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6154,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
265.503,chacha20,-4.66246e-05,0.00109933,-0.00154947,1,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6113,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
248.107,logistic_xor,0.00178695,-0.0333235,0.00742823,1,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
240.924,logistic_permute_xor,0.00143524,0.00459627,0.00029859,0.00385793,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6068,0.999997,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
255.335,arnold_xor,0.0065554,-0.0381166,0.00574995,0.00390625,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
253.902,tiled_arnold_xor,0.00595864,-0.0318308,0.00540772,0.0120443,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
281.894,tent_block_xor,0.000663443,-0.00310728,-0.00170598,1,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.625,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
208.794,sine_xor,0.0727493,-0.0729127,0.079319,1,7.99981,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.2976,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
242.123,coupled_lattice_xor,0.146501,0.0275223,0.149401,1,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.4114,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
245.696,hamiltonian_lattice_xor,0.00318681,0.000783296,0.00203466,1,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5286,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
242.703,chaotic_seed_mix_xor,0.000204554,-0.00141171,-0.00128362,1,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6124,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
276.77,aes_ctr,-0.00241401,0.00264012,-0.00097822,1,7.99975,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6067,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
220.917,chacha20,0.00566,-0.000282329,0.00120264,1,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6176,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
248.107,logistic_xor,0.00178695,-0.0333235,0.00742823,1,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
240.924,logistic_permute_xor,0.00143524,0.00459627,0.00029859,0.00385793,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6068,0.999997,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
255.335,arnold_xor,0.0065554,-0.0381166,0.00574995,0.00390625,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
253.902,tiled_arnold_xor,0.00595864,-0.0318308,0.00540772,0.0120443,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
