MBps,bytes,channels,checksum,diffusion,diffusion_ms,height,image,image_kind,image_size,keygen_ms,keystream,mode,permutation,permutation_ms,repeat,run_id,scheme,total_ms,width
79.1111,3145728,3,5147628107662295658,arx_block,3.79456,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,7.36822,cellular_automata,candidates,feistel_index,26.754,1,candidates__gradient_1024x1024__rep1,CA-Feistel-ARX,37.9213,1024
34.6113,3145728,3,5718552803126816917,stencil,12.9311,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,48.1983,cml,candidates,feistel_index,25.5423,1,candidates__gradient_1024x1024__rep1,CML-Feistel-Stencil,86.677,1024
9.84756,3145728,3,493656605528614914,stencil,12.7324,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,266.297,hamiltonian,candidates,block_feistel,25.6091,1,candidates__gradient_1024x1024__rep1,Hamiltonian-Block-Stencil,304.644,1024
31.5998,3145728,3,13834641965195320649,bitplane,6.82543,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,44.9959,cml,candidates,affine_bitplane,43.1114,1,candidates__gradient_1024x1024__rep1,Affine-CML-Bitplane,94.9373,1024
229.762,3145728,3,9438715282867208350,arx_block,3.39414,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,6.85328,cellular_automata,candidates,checkerboard_swaps,2.80596,1,candidates__gradient_1024x1024__rep1,Checkerboard-CA-ARX,13.057,1024
44.8343,3145728,3,10110719001919709732,prefix_tree_reverse,16.7999,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,6.94328,cellular_automata,candidates,affine_bitplane,43.1654,1,candidates__gradient_1024x1024__rep1,Affine-CA-PrefixTree,66.9131,1024
188.2,3145728,3,17832815617474424009,multilane_tree,5.89396,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,6.86365,cellular_automata,candidates,checkerboard_swaps,3.17908,1,candidates__gradient_1024x1024__rep1,Checkerboard-CA-MultilaneTree,15.9405,1024
90.4149,3145728,3,5147628107662295658,arx_block,3.24711,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,6.71171,cellular_automata,candidates,feistel_index,23.2175,2,candidates__gradient_1024x1024__rep2,CA-Feistel-ARX,33.1804,1024
37.8712,3145728,3,5718552803126816917,stencil,12.2461,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,43.94,cml,candidates,feistel_index,23.0259,2,candidates__gradient_1024x1024__rep2,CML-Feistel-Stencil,79.2158,1024
9.96693,3145728,3,493656605528614914,stencil,12.9961,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,263.411,hamiltonian,candidates,block_feistel,24.5842,2,candidates__gradient_1024x1024__rep2,Hamiltonian-Block-Stencil,300.995,1024
31.3727,3145728,3,13834641965195320649,bitplane,7.07341,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,46.6899,cml,candidates,affine_bitplane,41.8558,2,candidates__gradient_1024x1024__rep2,Affine-CML-Bitplane,95.6246,1024
244.794,3145728,3,9438715282867208350,arx_block,3.03918,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,6.63171,cellular_automata,candidates,checkerboard_swaps,2.58054,2,candidates__gradient_1024x1024__rep2,Checkerboard-CA-ARX,12.2552,1024
