image,cipher,entropy,chi_square,corr_h,corr_v,corr_d,npcr,uaci,key_sensitivity,kpa_score,cpa_score
images/datasets/synthetic/noise_512x512.ppm,logistic_xor,7.99977,245.626,-0.00162256,-0.00125169,0.000224014,0.000127157,4.98653e-07,99.3804,1,1
images/datasets/synthetic/noise_512x512.ppm,logistic_permute_xor,7.99976,263.467,-0.00480554,-0.00107664,0.00162065,0.000127157,4.98653e-07,99.6142,0.999997,0.00382106
images/datasets/synthetic/noise_512x512.ppm,arnold_xor,7.99975,270.035,0.00111202,0.00206566,-0.00086732,0.000127157,4.98653e-07,99.3804,1,0.00391515
images/datasets/synthetic/noise_512x512.ppm,tiled_arnold_xor,7.99977,251.27,-0.000666348,-0.000729099,0.00169518,0.000127157,4.98653e-07,99.3804,1,0.00484212
images/datasets/synthetic/noise_512x512.ppm,tent_block_xor,7.99976,256.332,0.00143584,-0.0025306,-0.000406533,0.000127157,4.98653e-07,99.625,1,1
images/datasets/synthetic/noise_512x512.ppm,sine_xor,7.99973,295.952,-0.00121839,-0.000676577,-0.000130591,0.000127157,4.98653e-07,99.2976,1,1
images/datasets/synthetic/noise_512x512.ppm,coupled_lattice_xor,7.99977,247.867,0.00174723,-0.00351979,0.00117994,0.000127157,4.98653e-07,99.4114,1,1
images/datasets/synthetic/noise_512x512.ppm,hamiltonian_lattice_xor,7.99976,263.652,0.000365803,-0.000581885,0.00218682,0.000127157,4.98653e-07,99.5286,1,1
images/datasets/synthetic/noise_512x512.ppm,chaotic_seed_blake3_xor,7.99977,253.59,-0.00214058,0.00268255,-0.00434409,0.000127157,4.98653e-07,99.6028,1,1
images/datasets/synthetic/noise_512x512.ppm,aes_ctr,7.99979,226.412,0.000180303,-0.00148114,0.00371308,0.000127157,4.98653e-07,99.6067,1,1
images/datasets/synthetic/noise_512x512.ppm,chacha20,7.9998,221.781,-0.000950746,0.00148056,-0.00171889,0.000127157,4.98653e-07,99.6176,1,1
