image,cipher,entropy,chi_square,corr_h,corr_v,corr_d,npcr,uaci,key_sensitivity,kpa_score,cpa_score
images/datasets/real/kodak/kodim15.png,logistic_xor,7.98459,25484.2,-0.0619546,0.0157816,0.0120922,8.47711e-05,3.32435e-07,99.3863,1,1
images/datasets/real/kodak/kodim15.png,logistic_permute_xor,7.98473,25252.1,-0.00640279,0.000863855,0.00277921,8.47711e-05,3.32435e-07,99.5989,0.999998,0.0119239
images/datasets/real/kodak/kodim15.png,arnold_xor,7.98434,25902,-0.0599822,0.0159965,0.0120637,8.47711e-05,3.32435e-07,99.3863,1,0.174184
images/datasets/real/kodak/kodim15.png,tiled_arnold_xor,7.98454,25570,-0.0588968,0.0158867,0.0111574,8.47711e-05,3.32435e-07,99.3863,1,0.0859095
images/datasets/real/kodak/kodim15.png,tent_block_xor,7.99984,265.428,-0.00663674,-7.1266e-05,-0.00217094,8.47711e-05,3.32435e-07,99.6234,1,1
images/datasets/real/kodak/kodim15.png,sine_xor,7.99138,14371.6,0.199474,0.240416,0.237019,8.47711e-05,3.32435e-07,99.3009,1,1
images/datasets/real/kodak/kodim15.png,coupled_lattice_xor,7.98626,22614.1,0.378863,0.417376,0.414854,8.47711e-05,3.32435e-07,99.4091,1,1
images/datasets/real/kodak/kodim15.png,hamiltonian_lattice_xor,7.99283,11796.1,-0.00712585,0.00636768,0.00646842,8.47711e-05,3.32435e-07,99.5316,1,1
images/datasets/real/kodak/kodim15.png,chaotic_seed_blake3_xor,7.99984,267.595,-0.00264675,0.00343847,0.000346794,8.47711e-05,3.32435e-07,99.608,1,1
images/datasets/real/kodak/kodim15.png,aes_ctr,7.99986,234.495,-0.000677566,-0.00110869,-0.00307279,8.47711e-05,3.32435e-07,99.6112,1,1
images/datasets/real/kodak/kodim15.png,chacha20,7.99985,246.926,0.000652794,0.0011774,0.00253895,8.47711e-05,3.32435e-07,99.6203,1,1
