image,cipher,entropy,chi_square,corr_h,corr_v,corr_d,npcr,uaci,key_sensitivity,kpa_score,cpa_score
images/datasets/synthetic/texture_512x512.ppm,logistic_xor,7.99977,247.001,-0.0336313,0.00162104,0.00197509,0.000127157,4.98653e-07,99.3804,1,1
images/datasets/synthetic/texture_512x512.ppm,logistic_permute_xor,7.99978,236.999,0.0014404,0.0014855,0.00278187,0.000127157,4.98653e-07,99.5973,0.999997,0.00393677
images/datasets/synthetic/texture_512x512.ppm,arnold_xor,7.99976,259.811,-0.0314083,0.00532866,0.00419699,0.000127157,4.98653e-07,99.3804,1,0.00387446
images/datasets/synthetic/texture_512x512.ppm,tiled_arnold_xor,7.99978,245.264,-0.0239619,0.00714606,0.00205559,0.000127157,4.98653e-07,99.3804,1,0.00612005
images/datasets/synthetic/texture_512x512.ppm,tent_block_xor,7.99976,258.537,-0.00205468,0.00182191,0.00165653,0.000127157,4.98653e-07,99.625,1,1
images/datasets/synthetic/texture_512x512.ppm,sine_xor,7.99976,256.818,-0.0674581,0.0546481,0.0448758,0.000127157,4.98653e-07,99.2976,1,1
images/datasets/synthetic/texture_512x512.ppm,coupled_lattice_xor,7.99975,274.523,0.0232192,0.108308,0.0918057,0.000127157,4.98653e-07,99.4114,1,1
images/datasets/synthetic/texture_512x512.ppm,hamiltonian_lattice_xor,7.99976,260.039,-0.000285156,0.000748187,0.00162612,0.000127157,4.98653e-07,99.5286,1,1
images/datasets/synthetic/texture_512x512.ppm,chaotic_seed_blake3_xor,7.99977,255.014,-0.00332192,0.000295207,-0.00203919,0.000127157,4.98653e-07,99.6028,1,1
images/datasets/synthetic/texture_512x512.ppm,aes_ctr,7.99977,253.651,0.00510488,-0.00234964,4.28232e-05,0.000127157,4.98653e-07,99.6067,1,1
images/datasets/synthetic/texture_512x512.ppm,chacha20,7.99976,264.023,0.00256071,-0.000130246,-0.00052081,0.000127157,4.98653e-07,99.6176,1,1
