MBps,bytes,category,channels,checksum,expected_speed,height,image,image_kind,image_size,mode,ms,repeat,research_value,run_id,stage,width
158.293,3145728,keystream,3,1393323055710729083,slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,18.9522,1,baseline,stages__gradient_1024x1024__rep1,logistic_double,1024
21.6521,3145728,keystream,3,4148837386759025803,very slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,138.555,1,bad baseline,stages__gradient_1024x1024__rep1,sine_map,1024
124.049,3145728,keystream,3,17828801109085825904,high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,24.184,1,useful,stages__gradient_1024x1024__rep1,fixed_point_tent,1024
57.4048,3145728,keystream,3,7300071053647123909,medium-high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,52.2604,1,chaos-native SIMD,stages__gradient_1024x1024__rep1,cml,1024
276.884,3145728,keystream,3,16155639928818468039,very high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,10.8349,1,fastest,stages__gradient_1024x1024__rep1,cellular_automata,1024
10.8666,3145728,keystream,3,8933758949333043982,medium,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,276.076,1,physics novelty,stages__gradient_1024x1024__rep1,hamiltonian,1024
47.3853,3145728,keystream,3,7835021245437358895,low-medium,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,63.3108,1,physics novelty,stages__gradient_1024x1024__rep1,reaction_diffusion,1024
3.37422,3145728,permutation,3,4438227735601186707,O(N log N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,889.093,1,poor,stages__gradient_1024x1024__rep1,chaotic_sort,1024
50.3052,3145728,permutation,3,2316906183440171945,O(N) sequential,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,59.636,1,poor,stages__gradient_1024x1024__rep1,random_walk,1024
140.64,3145728,permutation,3,14863727995549221669,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,21.331,1,good,stages__gradient_1024x1024__rep1,arnold_cat_map,1024
