MBps_max,MBps_mean,MBps_median,MBps_min,MBps_stddev,category,image_size,n,stage
454.092,435.0731111111111,435.0,420.343,10.73591170376839,diffusion,1024x1024,9,arx_block_diffusion
436.961,407.4455555555556,406.568,365.349,21.02163047381858,diffusion,2048x2048,9,arx_block_diffusion
539.426,435.12255555555555,425.054,409.989,40.154720376660315,diffusion,512x512,9,arx_block_diffusion
260.237,235.08944444444444,236.96,217.458,15.885809218537714,diffusion,1024x1024,9,arx_prefix_mod256
250.331,224.23077777777777,221.612,205.326,14.823316841869243,diffusion,2048x2048,9,arx_prefix_mod256
275.027,239.62444444444444,236.843,213.931,19.295871502157596,diffusion,512x512,9,arx_prefix_mod256
307.452,287.74399999999997,286.411,276.05,8.425356283267787,diffusion,1024x1024,9,bitplane_diffusion
294.498,278.24033333333335,277.493,266.708,10.644985004686475,diffusion,2048x2048,9,bitplane_diffusion
301.304,281.2911111111111,281.221,263.507,11.252727718696072,diffusion,512x512,9,bitplane_diffusion
334.201,301.9526666666667,295.121,278.891,21.347706404904486,diffusion,1024x1024,9,block_local_chain
298.435,287.5852222222222,283.438,274.645,9.438713137628696,diffusion,2048x2048,9,block_local_chain
360.326,304.7398888888889,299.638,281.416,23.383404357815643,diffusion,512x512,9,block_local_chain
257.189,240.93955555555556,241.938,222.429,11.536019191115185,diffusion,1024x1024,9,global_chain
254.321,233.07788888888888,234.209,217.388,11.489567870947589,diffusion,2048x2048,9,global_chain
254.445,234.0661111111111,233.926,227.141,8.416122272823221,diffusion,512x512,9,global_chain
561.192,510.90077777777776,506.064,471.623,29.52452271747072,diffusion,1024x1024,9,multilane_chain_avx2
448.521,409.2725555555555,397.057,381.777,23.55449169007426,diffusion,2048x2048,9,multilane_chain_avx2
602.959,505.9492222222222,486.639,463.451,47.276164562012035,diffusion,512x512,9,multilane_chain_avx2
314.924,282.87944444444446,283.736,254.589,18.755111517337816,diffusion,1024x1024,9,parallel_prefix
277.825,257.6298888888889,255.56,249.244,8.192508276536012,diffusion,2048x2048,9,parallel_prefix
322.526,291.52288888888893,286.275,265.507,19.135748263684675,diffusion,512x512,9,parallel_prefix
196.481,177.90800000000002,179.632,160.124,12.753458717148066,diffusion,1024x1024,9,prefix_tree_reverse
166.896,156.37866666666665,151.663,149.695,7.321691249294794,diffusion,2048x2048,9,prefix_tree_reverse
218.294,180.31900000000002,177.426,157.62,17.44238271423948,diffusion,512x512,9,prefix_tree_reverse
367.228,349.3424444444444,346.318,334.667,13.943126219674625,diffusion,1024x1024,9,prefix_xor_avx2
355.344,332.2812222222222,332.508,314.969,12.176334760281703,diffusion,2048x2048,9,prefix_xor_avx2
413.885,357.74111111111114,358.516,326.754,24.212637451568774,diffusion,512x512,9,prefix_xor_avx2
306.517,287.02155555555555,289.752,257.54,15.504212791295716,diffusion,1024x1024,9,reverse_prefix_xor_avx2
288.837,268.81733333333335,269.979,250.857,13.171784114158568,diffusion,2048x2048,9,reverse_prefix_xor_avx2
309.054,284.634,279.294,267.789,15.914394019251878,diffusion,512x512,9,reverse_prefix_xor_avx2
195.505,179.53511111111112,179.292,166.432,7.799700482141036,diffusion,1024x1024,9,stencil_diffusion
175.355,165.96255555555555,166.008,152.439,7.499902384549931,diffusion,2048x2048,9,stencil_diffusion
204.5,178.55655555555555,174.76,162.927,13.084308026325955,diffusion,512x512,9,stencil_diffusion
505.407,468.94811111111113,467.153,438.401,21.345557040309604,diffusion,1024x1024,9,tree_xor_avx2
417.964,384.71922222222224,385.307,355.044,21.218519716145252,diffusion,2048x2048,9,tree_xor_avx2
529.242,470.1483333333333,461.913,414.961,35.15138626000402,diffusion,512x512,9,tree_xor_avx2
310.125,293.84133333333335,291.584,279.473,10.05732258108488,keystream,1024x1024,9,cellular_automata
289.571,274.9578888888889,277.857,254.438,11.604631138520139,keystream,2048x2048,9,cellular_automata
