image,cipher,entropy,chi_square,corr_h,corr_v,corr_d,npcr,uaci,key_sensitivity,kpa_score,cpa_score
images/datasets/smoke/gradient_64x64.ppm,logistic_xor,7.97823,367.125,-0.0488454,-0.00363485,0.0149665,0.00813802,3.19138e-05,99.2594,1,1
images/datasets/smoke/gradient_64x64.ppm,logistic_permute_xor,7.97523,421.333,-0.0410597,0.000702929,-0.00664519,0.00813802,3.19138e-05,99.6175,0.999837,0.00683594
images/datasets/smoke/gradient_64x64.ppm,arnold_xor,7.97901,355.375,-0.0568841,0.00571551,0.00406472,0.00813802,3.19138e-05,99.2594,1,0.00594076
images/datasets/smoke/gradient_64x64.ppm,tiled_arnold_xor,7.97916,354.625,-0.0409501,0.00107991,0.00827803,0.00813802,3.19138e-05,99.2594,1,0.0120443
images/datasets/smoke/gradient_64x64.ppm,tent_block_xor,7.98342,283.208,0.000525548,0.00284183,0.0052699,0.00813802,3.19138e-05,99.5931,1,1
images/datasets/smoke/gradient_64x64.ppm,sine_xor,7.9599,681.792,0.0179371,0.0612892,0.0822101,0.00813802,3.19138e-05,99.3408,1,1
images/datasets/smoke/gradient_64x64.ppm,coupled_lattice_xor,7.93546,1081.17,0.0536067,0.0969114,0.115611,0.00813802,3.19138e-05,99.5931,1,1
images/datasets/smoke/gradient_64x64.ppm,hamiltonian_lattice_xor,7.9807,327.75,-0.0055874,-0.0047758,0.00182279,0.00813802,3.19138e-05,99.528,1,1
images/datasets/smoke/gradient_64x64.ppm,chaotic_seed_mix_xor,7.98555,245,-0.00210982,0.00205469,-0.00189886,0.00813802,3.19138e-05,99.6257,1,1
images/datasets/smoke/gradient_64x64.ppm,aes_ctr,7.98517,250.75,0.00626473,-0.0178383,-0.000643438,0.00813802,3.19138e-05,99.5931,1,1
images/datasets/smoke/gradient_64x64.ppm,chacha20,7.98571,243.917,-0.0221787,0.0188647,-0.0273827,0.00813802,3.19138e-05,99.6175,1,1
