image,cipher,variant,width,height,channels,bytes,keygen_ms,permutation_ms,diffusion_ms,total_ms,MBps,correct
images/datasets/smoke/gradient_64x64.ppm,logistic_xor,scalar_avx2,64,64,3,12288,0.066899,0.000463,0.029569,0.115985,101.037,1
images/datasets/smoke/gradient_64x64.ppm,logistic_permute_xor,scalar_avx2,64,64,3,12288,0.06627,0.392291,0.002332,0.467377,25.0734,1
images/datasets/smoke/gradient_64x64.ppm,arnold_xor,scalar_avx2,64,64,3,12288,0.05372,0.054127,0.002573,0.115511,101.451,1
images/datasets/smoke/gradient_64x64.ppm,tiled_arnold_xor,scalar_avx2,64,64,3,12288,0.120729,0.057113,0.004105,0.18808,62.3073,1
images/datasets/smoke/gradient_64x64.ppm,tent_block_xor,scalar_avx2,64,64,3,12288,0.120918,0.000529,0.002689,0.129239,90.675,1
images/datasets/smoke/gradient_64x64.ppm,sine_xor,scalar_avx2,64,64,3,12288,0.552172,0.000488,0.006928,0.566519,20.6855,1
images/datasets/smoke/gradient_64x64.ppm,coupled_lattice_xor,scalar_avx2,64,64,3,12288,0.188377,0.000485,0.003286,0.197378,59.3721,1
images/datasets/smoke/gradient_64x64.ppm,hamiltonian_lattice_xor,scalar_avx2,64,64,3,12288,1.01459,0.000583,0.00313,1.02453,11.4381,1
images/datasets/smoke/gradient_64x64.ppm,chaotic_seed_mix_xor,scalar_avx2,64,64,3,12288,0.04835,0.000485,0.003339,0.058575,200.064,1
images/datasets/smoke/gradient_64x64.ppm,aes_ctr,openssl_evp,64,64,3,12288,0,0,2.33057,2.33583,5.01695,1
images/datasets/smoke/gradient_64x64.ppm,chacha20,openssl_evp,64,64,3,12288,0,0,0.018382,0.022355,524.212,1
