MBps_max,MBps_mean,MBps_median,MBps_min,MBps_stddev,category,image_size,n,stage
454.391,454.391,454.391,454.391,0.0,diffusion,64x64,1,arx_block_diffusion
257.578,257.578,257.578,257.578,0.0,diffusion,64x64,1,arx_prefix_mod256
306.87,306.87,306.87,306.87,0.0,diffusion,64x64,1,bitplane_diffusion
324.484,324.484,324.484,324.484,0.0,diffusion,64x64,1,block_local_chain
304.541,304.541,304.541,304.541,0.0,diffusion,64x64,1,global_chain
545.642,545.642,545.642,545.642,0.0,diffusion,64x64,1,multilane_chain_avx2
388.927,388.927,388.927,388.927,0.0,diffusion,64x64,1,parallel_prefix
233.348,233.348,233.348,233.348,0.0,diffusion,64x64,1,prefix_tree_reverse
391.042,391.042,391.042,391.042,0.0,diffusion,64x64,1,prefix_xor_avx2
314.251,314.251,314.251,314.251,0.0,diffusion,64x64,1,reverse_prefix_xor_avx2
190.487,190.487,190.487,190.487,0.0,diffusion,64x64,1,stencil_diffusion
511.803,511.803,511.803,511.803,0.0,diffusion,64x64,1,tree_xor_avx2
324.054,324.054,324.054,324.054,0.0,keystream,64x64,1,cellular_automata
61.8534,61.8534,61.8534,61.8534,0.0,keystream,64x64,1,cml
147.135,147.135,147.135,147.135,0.0,keystream,64x64,1,fixed_point_tent
11.1402,11.1402,11.1402,11.1402,0.0,keystream,64x64,1,hamiltonian
182.053,182.053,182.053,182.053,0.0,keystream,64x64,1,logistic_double
48.3722,48.3722,48.3722,48.3722,0.0,keystream,64x64,1,reaction_diffusion
21.0573,21.0573,21.0573,21.0573,0.0,keystream,64x64,1,sine_map
68.852,68.852,68.852,68.852,0.0,permutation,64x64,1,affine_modular
182.532,182.532,182.532,182.532,0.0,permutation,64x64,1,arnold_cat_map
532.767,532.767,532.767,532.767,0.0,permutation,64x64,1,block_permutation
7.67977,7.67977,7.67977,7.67977,0.0,permutation,64x64,1,chaotic_sort
212.454,212.454,212.454,212.454,0.0,permutation,64x64,1,checkerboard_swaps
79.6138,79.6138,79.6138,79.6138,0.0,permutation,64x64,1,feistel_index
61.6971,61.6971,61.6971,61.6971,0.0,permutation,64x64,1,random_walk
