MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
135.904,3145728,3,logistic_xor,1,synthetic_control,5.00945,22.693379238487847,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,12.663,57.364832725543046,full,0.000843,0.0038188860449840313,1,full__gradient_1024x1024__rep1,22.0745,scalar_avx2,1024
11.7882,3145728,3,logistic_permute_xor,1,synthetic_control,5.11862,2.011300900221224,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.8447,4.261295988494772,full,234.1,91.98681299682113,1,full__gradient_1024x1024__rep1,254.493,scalar_avx2,1024
98.3117,3145728,3,arnold_xor,1,synthetic_control,1.93024,6.325503355704698,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.8008,35.39481963087249,full,16.2805,53.35209993708054,1,full__gradient_1024x1024__rep1,30.5152,scalar_avx2,1024
78.6802,3145728,3,tiled_arnold_xor,1,synthetic_control,5.16443,13.544624826247738,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.6302,27.87956673398201,full,17.9395,47.04948988958535,1,full__gradient_1024x1024__rep1,38.129,scalar_avx2,1024
78.9572,3145728,3,tent_block_xor,1,synthetic_control,4.98404,13.11751716659692,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,28.5413,75.11797511797512,full,0.000696,0.0018318055127871076,1,full__gradient_1024x1024__rep1,37.9953,scalar_avx2,1024
23.3814,3145728,3,sine_xor,1,synthetic_control,2.10974,1.6442906466521703,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,124.713,97.19890574949146,full,0.001619,0.001261817359925803,1,full__gradient_1024x1024__rep1,128.307,scalar_avx2,1024
66.3563,3145728,3,coupled_lattice_xor,1,synthetic_control,2.17442,4.809546454916446,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,41.7106,92.25865672797246,full,0.000785,0.0017363223145065857,1,full__gradient_1024x1024__rep1,45.2105,scalar_avx2,1024
11.2222,3145728,3,hamiltonian_lattice_xor,1,synthetic_control,2.30152,0.8609348814938952,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,263.766,98.667554464927,full,0.000837,0.00031309851568111087,1,full__gradient_1024x1024__rep1,267.328,scalar_avx2,1024
289.514,3145728,3,chaotic_seed_blake3_xor,1,synthetic_control,1.8304,17.664202582463183,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,7.19035,69.39018741193955,full,0.000763,0.007363301229468646,1,full__gradient_1024x1024__rep1,10.3622,scalar_avx2,1024
573.394,3145728,3,aes_ctr,1,synthetic_control,3.77868,72.22247706422019,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,1,full__gradient_1024x1024__rep1,5.232,openssl_evp,1024
818.347,3145728,3,chacha20,1,synthetic_control,2.00228,54.618609738865715,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,1,full__gradient_1024x1024__rep1,3.66593,openssl_evp,1024
969.187,3145728,3,aes_256_gcm,1,synthetic_control,1.48685,48.034490111068756,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,1,full__gradient_1024x1024__rep1,3.09538,openssl_evp_aead,1024
661.905,3145728,3,chacha20_poly1305,1,synthetic_control,2.8424,62.71318821458042,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,1,full__gradient_1024x1024__rep1,4.53238,openssl_evp_aead,1024
133.852,3145728,3,logistic_xor,1,synthetic_control,4.94763,22.075019631639066,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,12.8148,57.17625642490005,full,0.000894,0.003988792118789264,2,full__gradient_1024x1024__rep2,22.4128,scalar_avx2,1024
11.3515,3145728,3,logistic_permute_xor,1,synthetic_control,5.17425,1.9578518400799145,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.9529,4.144398786145103,full,243.193,92.02026623076867,2,full__gradient_1024x1024__rep2,264.282,scalar_avx2,1024
97.0859,3145728,3,arnold_xor,1,synthetic_control,2.08723,6.754680344978236,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.9645,35.48324460769243,full,16.3431,52.88943544602838,2,full__gradient_1024x1024__rep2,30.9005,scalar_avx2,1024
