image,cipher,entropy,chi_square,corr_h,corr_v,corr_d,npcr,uaci,key_sensitivity,kpa_score,cpa_score
images/datasets/synthetic/gradient_512x512.ppm,logistic_xor,7.99977,248.107,-0.0333235,0.00742823,0.00178695,0.000127157,4.98653e-07,99.3804,1,1
images/datasets/synthetic/gradient_512x512.ppm,logistic_permute_xor,7.99978,240.924,0.00459627,0.00029859,0.00143524,0.000127157,4.98653e-07,99.6068,0.999997,0.00385793
images/datasets/synthetic/gradient_512x512.ppm,arnold_xor,7.99977,255.335,-0.0381166,0.00574995,0.0065554,0.000127157,4.98653e-07,99.3804,1,0.00390625
images/datasets/synthetic/gradient_512x512.ppm,tiled_arnold_xor,7.99977,253.902,-0.0318308,0.00540772,0.00595864,0.000127157,4.98653e-07,99.3804,1,0.0120443
images/datasets/synthetic/gradient_512x512.ppm,tent_block_xor,7.99974,281.894,-0.00310728,-0.00170598,0.000663443,0.000127157,4.98653e-07,99.625,1,1
images/datasets/synthetic/gradient_512x512.ppm,sine_xor,7.99981,208.794,-0.0729127,0.079319,0.0727493,0.000127157,4.98653e-07,99.2976,1,1
images/datasets/synthetic/gradient_512x512.ppm,coupled_lattice_xor,7.99978,242.123,0.0275223,0.149401,0.146501,0.000127157,4.98653e-07,99.4114,1,1
images/datasets/synthetic/gradient_512x512.ppm,hamiltonian_lattice_xor,7.99977,245.696,0.000783296,0.00203466,0.00318681,0.000127157,4.98653e-07,99.5286,1,1
images/datasets/synthetic/gradient_512x512.ppm,chaotic_seed_blake3_xor,7.9998,220.738,-0.00142733,0.00323565,-0.00224542,0.000127157,4.98653e-07,99.6028,1,1
images/datasets/synthetic/gradient_512x512.ppm,aes_ctr,7.99975,276.77,0.00264012,-0.00097822,-0.00241401,0.000127157,4.98653e-07,99.6067,1,1
images/datasets/synthetic/gradient_512x512.ppm,chacha20,7.9998,220.917,-0.000282329,0.00120264,0.00566,0.000127157,4.98653e-07,99.6176,1,1
images/datasets/synthetic/gradient_512x512.ppm,aes_256_gcm,7.99974,281.626,0.00117039,0.000349606,-0.000896316,0.000127157,4.98653e-07,99.5992,1,1
images/datasets/synthetic/gradient_512x512.ppm,chacha20_poly1305,7.99977,253.393,-0.00220301,-0.000521529,0.0023274,0.000127157,4.98653e-07,99.6096,1,1
