image,cipher,variant,width,height,channels,bytes,keygen_ms,permutation_ms,diffusion_ms,total_ms,MBps,correct
images/datasets/real/kodak/kodim10.png,logistic_xor,scalar_avx2,512,768,3,1179648,4.82619,0.000956,1.92903,8.63833,130.234,1
images/datasets/real/kodak/kodim10.png,logistic_permute_xor,scalar_avx2,512,768,3,1179648,4.02826,72.7312,1.29728,79.3169,14.1836,1
images/datasets/real/kodak/kodim10.png,arnold_xor,scalar_avx2,512,768,3,1179648,3.88746,5.17503,0.708016,10.4896,107.249,1
images/datasets/real/kodak/kodim10.png,tiled_arnold_xor,scalar_avx2,512,768,3,1179648,3.76237,5.84721,1.79532,12.8527,87.5302,1
images/datasets/real/kodak/kodim10.png,tent_block_xor,scalar_avx2,512,768,3,1179648,11.628,0.000906,2.10363,15.3324,73.3739,1
images/datasets/real/kodak/kodim10.png,sine_xor,scalar_avx2,512,768,3,1179648,48.6041,0.000842,1.02291,50.2139,22.4041,1
images/datasets/real/kodak/kodim10.png,coupled_lattice_xor,scalar_avx2,512,768,3,1179648,15.2621,0.000561,0.922168,16.7062,67.3404,1
images/datasets/real/kodak/kodim10.png,hamiltonian_lattice_xor,scalar_avx2,512,768,3,1179648,106.575,0.000616,1.22894,108.417,10.3766,1
images/datasets/real/kodak/kodim10.png,chaotic_seed_blake3_xor,scalar_avx2,512,768,3,1179648,2.73774,0.000796,0.669264,3.81562,294.84,1
images/datasets/real/kodak/kodim10.png,aes_ctr,openssl_evp,512,768,3,1179648,0,0,2.93002,3.38003,332.838,1
images/datasets/real/kodak/kodim10.png,chacha20,openssl_evp,512,768,3,1179648,0,0,0.649508,1.2901,872.025,1
images/datasets/real/kodak/kodim10.png,aes_256_gcm,openssl_evp_aead,512,768,3,1179648,0,0,0.682123,1.18468,949.624,1
images/datasets/real/kodak/kodim10.png,chacha20_poly1305,openssl_evp_aead,512,768,3,1179648,0,0,1.12879,1.76648,636.861,1
