image,cipher,entropy,chi_square,corr_h,corr_v,corr_d,npcr,uaci,key_sensitivity,kpa_score,cpa_score
images/datasets/synthetic/texture_1024x1024.ppm,logistic_xor,7.99994,241.078,-0.0282643,0.00354007,0.00351882,3.17891e-05,1.24663e-07,99.4014,1,1
images/datasets/synthetic/texture_1024x1024.ppm,logistic_permute_xor,7.99994,246.643,-0.000900019,0.000215581,-0.000823953,3.17891e-05,1.24663e-07,99.6105,0.999999,0.00392246
images/datasets/synthetic/texture_1024x1024.ppm,arnold_xor,7.99994,246.563,-0.0298285,0.00526566,0.00566149,3.17891e-05,1.24663e-07,99.4014,1,0.00389798
images/datasets/synthetic/texture_1024x1024.ppm,tiled_arnold_xor,7.99994,262.648,-0.0242055,0.00296292,0.0051916,3.17891e-05,1.24663e-07,99.4014,1,0.00609016
images/datasets/synthetic/texture_1024x1024.ppm,tent_block_xor,7.99994,255.454,-0.000966838,-0.000778463,0.00127321,3.17891e-05,1.24663e-07,99.6171,1,1
images/datasets/synthetic/texture_1024x1024.ppm,sine_xor,7.99995,231.928,-0.0591243,0.0469481,0.0422507,3.17891e-05,1.24663e-07,99.3037,1,1
images/datasets/synthetic/texture_1024x1024.ppm,coupled_lattice_xor,7.99994,268.134,0.0228596,0.0963094,0.0839718,3.17891e-05,1.24663e-07,99.4116,1,1
images/datasets/synthetic/texture_1024x1024.ppm,hamiltonian_lattice_xor,7.99994,266.377,-0.000322099,-0.000417931,0.000794442,3.17891e-05,1.24663e-07,99.5381,1,1
images/datasets/synthetic/texture_1024x1024.ppm,chaotic_seed_blake3_xor,7.99994,281.273,-0.000642811,0.000545367,0.00134386,3.17891e-05,1.24663e-07,99.605,1,1
images/datasets/synthetic/texture_1024x1024.ppm,aes_ctr,7.99994,247.421,-0.000307313,0.00017824,-0.00020609,3.17891e-05,1.24663e-07,99.6154,1,1
images/datasets/synthetic/texture_1024x1024.ppm,chacha20,7.99994,278.385,0.000408063,-0.000556697,-0.000505313,3.17891e-05,1.24663e-07,99.6113,1,1
images/datasets/synthetic/texture_1024x1024.ppm,aes_256_gcm,7.99994,241.664,-0.000777516,-0.00121438,-0.00126341,3.17891e-05,1.24663e-07,99.6082,1,1
images/datasets/synthetic/texture_1024x1024.ppm,chacha20_poly1305,7.99995,239.439,0.000203065,0.00120762,-0.000656042,3.17891e-05,1.24663e-07,99.6084,1,1
