MBps,bytes,category,channels,checksum,dataset,expected_speed,height,image,image_kind,image_size,mode,ms,repeat,research_value,run_id,stage,width
164.212,3145728,keystream,3,1393323055710729083,synthetic_control,slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,18.269,1,baseline,stages__gradient_1024x1024__rep1,logistic_double,1024
22.9055,3145728,keystream,3,4148837386759025803,synthetic_control,very slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,130.973,1,bad baseline,stages__gradient_1024x1024__rep1,sine_map,1024
128.274,3145728,keystream,3,17828801109085825904,synthetic_control,high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,23.3874,1,useful,stages__gradient_1024x1024__rep1,fixed_point_tent,1024
57.7944,3145728,keystream,3,7300071053647123909,synthetic_control,medium-high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,51.9081,1,chaos-native SIMD,stages__gradient_1024x1024__rep1,cml,1024
279.704,3145728,keystream,3,16155639928818468039,synthetic_control,very high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,10.7256,1,fastest,stages__gradient_1024x1024__rep1,cellular_automata,1024
11.0312,3145728,keystream,3,8933758949333043982,synthetic_control,medium,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,271.956,1,physics novelty,stages__gradient_1024x1024__rep1,hamiltonian,1024
46.1053,3145728,keystream,3,7835021245437358895,synthetic_control,low-medium,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,65.0684,1,physics novelty,stages__gradient_1024x1024__rep1,reaction_diffusion,1024
3.50222,3145728,permutation,3,4438227735601186707,synthetic_control,O(N log N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,856.6,1,poor,stages__gradient_1024x1024__rep1,chaotic_sort,1024
50.9926,3145728,permutation,3,2316906183440171945,synthetic_control,O(N) sequential,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,58.8321,1,poor,stages__gradient_1024x1024__rep1,random_walk,1024
154.36,3145728,permutation,3,14863727995549221669,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,19.4351,1,good,stages__gradient_1024x1024__rep1,arnold_cat_map,1024
66.4939,3145728,permutation,3,96795879159249701,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,45.1169,1,excellent,stages__gradient_1024x1024__rep1,affine_modular,1024
93.3672,3145728,permutation,3,5511218244403618277,synthetic_control,O(rN),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,32.1312,1,excellent,stages__gradient_1024x1024__rep1,feistel_index,1024
463.459,3145728,permutation,3,6169858788448115493,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,6.47306,1,excellent,stages__gradient_1024x1024__rep1,block_permutation,1024
190.337,3145728,permutation,3,10326791488771883193,synthetic_control,O(rN),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,15.7615,1,excellent,stages__gradient_1024x1024__rep1,checkerboard_swaps,1024
224.466,3145728,diffusion,3,8539806483021485614,synthetic_control,sequential,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,13.3651,1,poor,stages__gradient_1024x1024__rep1,global_chain,1024
282.28,3145728,diffusion,3,16334624549413844226,synthetic_control,block-level,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,10.6278,1,good,stages__gradient_1024x1024__rep1,block_local_chain,1024
273.108,3145728,diffusion,3,11582007342614633226,synthetic_control,reduced,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,10.9847,1,medium,stages__gradient_1024x1024__rep1,parallel_prefix,1024
167.45,3145728,diffusion,3,8133138628360456355,synthetic_control,none per round,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,17.9158,1,high,stages__gradient_1024x1024__rep1,stencil_diffusion,1024
367.979,3145728,diffusion,3,10204094702077775783,synthetic_control,none,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,8.15264,1,excellent,stages__gradient_1024x1024__rep1,arx_block_diffusion,1024
272.789,3145728,diffusion,3,4793920138874171443,synthetic_control,none,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,10.9975,1,excellent,stages__gradient_1024x1024__rep1,bitplane_diffusion,1024
345.581,3145728,diffusion,3,8539806483021485614,synthetic_control,associative scan,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,8.68104,1,excellent,stages__gradient_1024x1024__rep1,prefix_xor_avx2,1024
277.547,3145728,diffusion,3,7244585470733363832,synthetic_control,associative scan,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,10.809,1,excellent,stages__gradient_1024x1024__rep1,reverse_prefix_xor_avx2,1024
478.385,3145728,diffusion,3,1388241344876142206,synthetic_control,lane-local,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,6.2711,1,excellent,stages__gradient_1024x1024__rep1,multilane_chain_avx2,1024
452.619,3145728,diffusion,3,210105897706674365,synthetic_control,logarithmic,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,6.6281,1,excellent,stages__gradient_1024x1024__rep1,tree_xor_avx2,1024
149.467,3145728,diffusion,3,3640491439014334144,synthetic_control,multi-pass associative,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,20.0713,1,excellent,stages__gradient_1024x1024__rep1,prefix_tree_reverse,1024
220.969,3145728,diffusion,3,9384624579304767167,synthetic_control,prefix sum mod 256,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,13.5765,1,medium-high,stages__gradient_1024x1024__rep1,arx_prefix_mod256,1024
155.8,3145728,keystream,3,1393323055710729083,synthetic_control,slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,19.2555,2,baseline,stages__gradient_1024x1024__rep2,logistic_double,1024
22.5215,3145728,keystream,3,4148837386759025803,synthetic_control,very slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,133.206,2,bad baseline,stages__gradient_1024x1024__rep2,sine_map,1024
127.496,3145728,keystream,3,17828801109085825904,synthetic_control,high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,23.5301,2,useful,stages__gradient_1024x1024__rep2,fixed_point_tent,1024
