MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
206.142,3145728,3,logistic_xor,1,synthetic_control,2.07913,14.286509403494788,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,11.2549,77.33678735114854,full,4.9e-05,0.0003366980231016072,1,full__gradient_1024x1024__rep1,14.5531,scalar_avx2,1024
15.4284,3145728,3,logistic_permute_xor,1,synthetic_control,0.859612,0.4420826347674933,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2807,5.287174845458379,full,182.636,93.92633430361128,1,full__gradient_1024x1024__rep1,194.446,scalar_avx2,1024
155.492,3145728,3,arnold_xor,1,synthetic_control,0.850825,4.409882033420409,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2571,53.16322511091761,full,7.49016,38.821992785172284,1,full__gradient_1024x1024__rep1,19.2936,scalar_avx2,1024
135.178,3145728,3,tiled_arnold_xor,1,synthetic_control,0.949645,4.279029423692155,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2772,46.30829540846213,full,10.3019,46.41959176316857,1,full__gradient_1024x1024__rep1,22.193,scalar_avx2,1024
151.689,3145728,3,tent_block_xor,1,synthetic_control,0.85423,4.319266630261109,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,18.2583,92.31994417814452,full,4.9e-05,0.0002477600469227191,1,full__gradient_1024x1024__rep1,19.7772,scalar_avx2,1024
33.7968,3145728,3,sine_xor,1,synthetic_control,0.835269,0.9409795878822835,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,87.3003,98.3489155182339,full,4.1e-05,4.6188908128008616e-05,1,full__gradient_1024x1024__rep1,88.7659,scalar_avx2,1024
97.0589,3145728,3,coupled_lattice_xor,1,synthetic_control,0.818711,2.648770103302911,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,29.4206,95.18426612227468,full,6.6e-05,0.00021352934896195624,1,full__gradient_1024x1024__rep1,30.9091,scalar_avx2,1024
14.7903,3145728,3,hamiltonian_lattice_xor,1,synthetic_control,0.812623,0.40063055867794667,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,201.366,99.27527657812223,full,5.8e-05,2.8594529570687647e-05,1,full__gradient_1024x1024__rep1,202.836,scalar_avx2,1024
414.624,3145728,3,chaotic_seed_blake3_xor,1,synthetic_control,0.812057,11.223279206464818,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,5.77158,79.76786580553855,full,4.1e-05,0.0005666528919337652,1,full__gradient_1024x1024__rep1,7.23547,scalar_avx2,1024
798.574,3145728,3,aes_ctr,1,synthetic_control,2.97432,79.17374291266272,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,1,full__gradient_1024x1024__rep1,3.7567,openssl_evp,1024
847.528,3145728,3,chacha20,1,synthetic_control,3.05,86.16525082563261,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,1,full__gradient_1024x1024__rep1,3.53971,openssl_evp,1024
1400.58,3145728,3,aes_256_gcm,1,synthetic_control,1.61898,75.58369164834241,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,1,full__gradient_1024x1024__rep1,2.14197,openssl_evp_aead,1024
618.675,3145728,3,chacha20_poly1305,1,synthetic_control,4.37317,90.18574695766405,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,1,full__gradient_1024x1024__rep1,4.84907,openssl_evp_aead,1024
205.818,3145728,3,logistic_xor,1,synthetic_control,2.08864,14.329308452250272,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,11.239,77.10620197585072,full,0.000222,0.0015230515916575193,2,full__gradient_1024x1024__rep2,14.576,scalar_avx2,1024
15.6391,3145728,3,logistic_permute_xor,1,synthetic_control,0.750761,0.3913760387017401,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2574,5.347241771188473,full,180.203,93.94086307382732,2,full__gradient_1024x1024__rep2,191.826,scalar_avx2,1024
158.003,3145728,3,arnold_xor,1,synthetic_control,0.746551,3.931906040975404,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2,53.720966977405595,full,7.42934,39.128561647442986,2,full__gradient_1024x1024__rep2,18.987,scalar_avx2,1024
138.163,3145728,3,tiled_arnold_xor,1,synthetic_control,0.766941,3.532076670842237,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2115,47.02812983567902,full,10.1237,46.62377496131457,2,full__gradient_1024x1024__rep2,21.7136,scalar_avx2,1024
153.918,3145728,3,tent_block_xor,1,synthetic_control,0.778017,3.991693559558563,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,18.0976,92.85153584493277,full,8.2e-05,0.00042070915145016395,2,full__gradient_1024x1024__rep2,19.4909,scalar_avx2,1024
