MBps,bytes,category,channels,checksum,dataset,expected_speed,height,image,image_kind,image_size,mode,ms,repeat,research_value,run_id,stage,width
266.497,3145728,keystream,3,1393323055710729083,synthetic_control,slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,11.2572,1,baseline,stages__gradient_1024x1024__rep1,logistic_double,1024
34.2736,3145728,keystream,3,4148837386759025803,synthetic_control,very slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,87.531,1,bad baseline,stages__gradient_1024x1024__rep1,sine_map,1024
246.938,3145728,keystream,3,17828801109085825904,synthetic_control,high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,12.1488,1,useful,stages__gradient_1024x1024__rep1,fixed_point_tent,1024
96.1244,3145728,keystream,3,7300071053647123909,synthetic_control,medium-high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,31.2096,1,chaos-native SIMD,stages__gradient_1024x1024__rep1,cml,1024
785.848,3145728,keystream,3,16155639928818468039,synthetic_control,very high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,3.81753,1,fastest,stages__gradient_1024x1024__rep1,cellular_automata,1024
14.8907,3145728,keystream,3,8933758949333043982,synthetic_control,medium,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,201.468,1,physics novelty,stages__gradient_1024x1024__rep1,hamiltonian,1024
89.0777,3145728,keystream,3,7835021245437358895,synthetic_control,low-medium,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,33.6784,1,physics novelty,stages__gradient_1024x1024__rep1,reaction_diffusion,1024
4.67342,3145728,permutation,3,4438227735601186707,synthetic_control,O(N log N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,641.928,1,poor,stages__gradient_1024x1024__rep1,chaotic_sort,1024
94.6551,3145728,permutation,3,2316906183440171945,synthetic_control,O(N) sequential,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,31.694,1,poor,stages__gradient_1024x1024__rep1,random_walk,1024
456.661,3145728,permutation,3,14863727995549221669,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,6.56943,1,good,stages__gradient_1024x1024__rep1,arnold_cat_map,1024
174.961,3145728,permutation,3,96795879159249701,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,17.1467,1,excellent,stages__gradient_1024x1024__rep1,affine_modular,1024
156.711,3145728,permutation,3,5511218244403618277,synthetic_control,O(rN),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,19.1435,1,excellent,stages__gradient_1024x1024__rep1,feistel_index,1024
4095.31,3145728,permutation,3,6169858788448115493,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,0.732546,1,excellent,stages__gradient_1024x1024__rep1,block_permutation,1024
299.917,3145728,permutation,3,10326791488771883193,synthetic_control,O(rN),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,10.0028,1,excellent,stages__gradient_1024x1024__rep1,checkerboard_swaps,1024
551.367,3145728,diffusion,3,8539806483021485614,synthetic_control,sequential,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,5.44102,1,poor,stages__gradient_1024x1024__rep1,global_chain,1024
653.49,3145728,diffusion,3,16334624549413844226,synthetic_control,block-level,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,4.59073,1,good,stages__gradient_1024x1024__rep1,block_local_chain,1024
939.759,3145728,diffusion,3,11582007342614633226,synthetic_control,reduced,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,3.19231,1,medium,stages__gradient_1024x1024__rep1,parallel_prefix,1024
345.657,3145728,diffusion,3,8133138628360456355,synthetic_control,none per round,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,8.67912,1,high,stages__gradient_1024x1024__rep1,stencil_diffusion,1024
2307.2,3145728,diffusion,3,10204094702077775783,synthetic_control,none,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,1.30028,1,excellent,stages__gradient_1024x1024__rep1,arx_block_diffusion,1024
530.229,3145728,diffusion,3,4793920138874171443,synthetic_control,none,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,5.65794,1,excellent,stages__gradient_1024x1024__rep1,bitplane_diffusion,1024
566.46,3145728,diffusion,3,8539806483021485614,synthetic_control,associative scan,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,5.29605,1,excellent,stages__gradient_1024x1024__rep1,prefix_xor_avx2,1024
661.201,3145728,diffusion,3,7244585470733363832,synthetic_control,associative scan,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,4.5372,1,excellent,stages__gradient_1024x1024__rep1,reverse_prefix_xor_avx2,1024
503.137,3145728,diffusion,3,1388241344876142206,synthetic_control,lane-local,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,5.96258,1,excellent,stages__gradient_1024x1024__rep1,multilane_chain_avx2,1024
112.585,3145728,diffusion,3,16146973401468441911,synthetic_control,logarithmic,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,26.6465,1,excellent,stages__gradient_1024x1024__rep1,tree_xor_avx2,1024
113.892,3145728,diffusion,3,4154058202088667287,synthetic_control,multi-pass associative,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,26.3407,1,excellent,stages__gradient_1024x1024__rep1,prefix_tree_reverse,1024
397.838,3145728,diffusion,3,9384624579304767167,synthetic_control,prefix sum mod 256,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,7.54077,1,medium-high,stages__gradient_1024x1024__rep1,arx_prefix_mod256,1024
264.368,3145728,keystream,3,1393323055710729083,synthetic_control,slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,11.3478,2,baseline,stages__gradient_1024x1024__rep2,logistic_double,1024
34.2704,3145728,keystream,3,4148837386759025803,synthetic_control,very slow,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,87.5392,2,bad baseline,stages__gradient_1024x1024__rep2,sine_map,1024
246.002,3145728,keystream,3,17828801109085825904,synthetic_control,high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,12.195,2,useful,stages__gradient_1024x1024__rep2,fixed_point_tent,1024
95.7166,3145728,keystream,3,7300071053647123909,synthetic_control,medium-high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,31.3425,2,chaos-native SIMD,stages__gradient_1024x1024__rep2,cml,1024
759.972,3145728,keystream,3,16155639928818468039,synthetic_control,very high,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,3.94752,2,fastest,stages__gradient_1024x1024__rep2,cellular_automata,1024
14.8969,3145728,keystream,3,8933758949333043982,synthetic_control,medium,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,201.384,2,physics novelty,stages__gradient_1024x1024__rep2,hamiltonian,1024
88.9005,3145728,keystream,3,7835021245437358895,synthetic_control,low-medium,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,33.7456,2,physics novelty,stages__gradient_1024x1024__rep2,reaction_diffusion,1024
4.6725,3145728,permutation,3,4438227735601186707,synthetic_control,O(N log N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,642.055,2,poor,stages__gradient_1024x1024__rep2,chaotic_sort,1024
94.4089,3145728,permutation,3,2316906183440171945,synthetic_control,O(N) sequential,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,31.7767,2,poor,stages__gradient_1024x1024__rep2,random_walk,1024
456.466,3145728,permutation,3,14863727995549221669,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,6.57224,2,good,stages__gradient_1024x1024__rep2,arnold_cat_map,1024
191.03,3145728,permutation,3,96795879159249701,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,15.7044,2,excellent,stages__gradient_1024x1024__rep2,affine_modular,1024
153.572,3145728,permutation,3,5511218244403618277,synthetic_control,O(rN),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,19.5348,2,excellent,stages__gradient_1024x1024__rep2,feistel_index,1024
4182.25,3145728,permutation,3,6169858788448115493,synthetic_control,O(N),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,0.717318,2,excellent,stages__gradient_1024x1024__rep2,block_permutation,1024
359.886,3145728,permutation,3,10326791488771883193,synthetic_control,O(rN),1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,8.33597,2,excellent,stages__gradient_1024x1024__rep2,checkerboard_swaps,1024
502.979,3145728,diffusion,3,8539806483021485614,synthetic_control,sequential,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,5.96446,2,poor,stages__gradient_1024x1024__rep2,global_chain,1024
644.216,3145728,diffusion,3,16334624549413844226,synthetic_control,block-level,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,4.65683,2,good,stages__gradient_1024x1024__rep2,block_local_chain,1024
948.937,3145728,diffusion,3,11582007342614633226,synthetic_control,reduced,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,3.16143,2,medium,stages__gradient_1024x1024__rep2,parallel_prefix,1024
342,3145728,diffusion,3,8133138628360456355,synthetic_control,none per round,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,8.77192,2,high,stages__gradient_1024x1024__rep2,stencil_diffusion,1024
2030.25,3145728,diffusion,3,10204094702077775783,synthetic_control,none,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,1.47765,2,excellent,stages__gradient_1024x1024__rep2,arx_block_diffusion,1024
466.333,3145728,diffusion,3,4793920138874171443,synthetic_control,none,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,6.43317,2,excellent,stages__gradient_1024x1024__rep2,bitplane_diffusion,1024
509.108,3145728,diffusion,3,8539806483021485614,synthetic_control,associative scan,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,5.89266,2,excellent,stages__gradient_1024x1024__rep2,prefix_xor_avx2,1024
651.127,3145728,diffusion,3,7244585470733363832,synthetic_control,associative scan,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,4.6074,2,excellent,stages__gradient_1024x1024__rep2,reverse_prefix_xor_avx2,1024
455.478,3145728,diffusion,3,1388241344876142206,synthetic_control,lane-local,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,6.58648,2,excellent,stages__gradient_1024x1024__rep2,multilane_chain_avx2,1024
128.057,3145728,diffusion,3,16146973401468441911,synthetic_control,logarithmic,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,23.427,2,excellent,stages__gradient_1024x1024__rep2,tree_xor_avx2,1024
112.907,3145728,diffusion,3,4154058202088667287,synthetic_control,multi-pass associative,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,stages,26.5705,2,excellent,stages__gradient_1024x1024__rep2,prefix_tree_reverse,1024
