chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
47234.3,logistic_xor,0.00491838,-0.0399573,0.00912204,1,7.97154,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.3863,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
47184.3,logistic_permute_xor,-0.0020157,-0.00562911,0.00132269,0.00807868,7.9716,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.5766,0.999998,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
47265.4,arnold_xor,0.00634482,-0.0335023,0.0081113,0.173266,7.97152,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.3863,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
47056.3,tiled_arnold_xor,0.00657521,-0.029203,0.00734516,0.0236994,7.97167,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.3863,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
296.306,tent_block_xor,5.68848e-05,-0.001525,0.0020617,1,7.99982,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.6234,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
18630.7,sine_xor,0.039083,0.0457673,0.0442007,1,7.98853,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.3009,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
21690,coupled_lattice_xor,0.104015,0.0892393,0.111131,1,7.98665,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.4091,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
26752.3,hamiltonian_lattice_xor,0.00148602,-0.01797,0.000586045,1,7.98393,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.5316,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
248.319,chaotic_seed_blake3_xor,-0.0025843,-0.000890119,0.000303334,1,7.99985,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.608,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
277.771,aes_ctr,-0.000108225,0.0029404,0.000413275,1,7.99983,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.6112,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
252.401,chacha20,0.000819013,0.000432283,0.00114948,1,7.99985,images/datasets/real/kodak/kodim01.png,real_kodim01,,99.6203,1,full,8.47711e-05,1,full__real_kodim01__rep1,3.32435e-07
24554.9,logistic_xor,-6.89943e-05,-0.0516916,0.00437959,1,7.98569,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.3863,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
24244.5,logistic_permute_xor,-0.00202657,-0.0457506,0.00423536,0.0358793,7.98584,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.5563,0.999998,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
24193.6,arnold_xor,0.00173899,-0.0507461,0.00548589,0.195043,7.98588,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.3863,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
24739.2,tiled_arnold_xor,0.000761794,-0.050234,0.00372934,0.0622813,7.98558,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.3863,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
288.736,tent_block_xor,-0.00114275,-0.0020836,-0.00129106,1,7.99982,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.6234,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
154619,sine_xor,0.0203088,-0.124077,0.0202673,1,7.9063,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.3009,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
132730,coupled_lattice_xor,0.0261682,-0.13119,0.029379,1,7.91719,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.4091,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
13482.8,hamiltonian_lattice_xor,-0.0013183,0.00439335,0.00359042,1,7.99187,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.5316,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
244.852,chaotic_seed_blake3_xor,0.00368212,0.000997998,0.000348787,1,7.99985,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.608,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
260.031,aes_ctr,-0.00275003,0.000542551,0.00239262,1,7.99984,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.6112,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
315.527,chacha20,0.000509753,0.00121884,0.000122443,1,7.99981,images/datasets/real/kodak/kodim02.png,real_kodim02,,99.6203,1,full,8.47711e-05,1,full__real_kodim02__rep1,3.32435e-07
25635.3,logistic_xor,0.00480864,-0.0461585,0.00832558,1,7.9844,images/datasets/real/kodak/kodim03.png,real_kodim03,,99.3863,1,full,8.47711e-05,1,full__real_kodim03__rep1,3.32435e-07
25256.4,logistic_permute_xor,0.000513071,-0.0126189,0.000846881,0.00927226,7.98461,images/datasets/real/kodak/kodim03.png,real_kodim03,,99.5878,0.999998,full,8.47711e-05,1,full__real_kodim03__rep1,3.32435e-07
25453.4,arnold_xor,0.00799348,-0.0461496,0.00678496,0.174949,7.98451,images/datasets/real/kodak/kodim03.png,real_kodim03,,99.3863,1,full,8.47711e-05,1,full__real_kodim03__rep1,3.32435e-07
25534.7,tiled_arnold_xor,0.00653049,-0.0446747,0.00726343,0.0747367,7.98446,images/datasets/real/kodak/kodim03.png,real_kodim03,,99.3863,1,full,8.47711e-05,1,full__real_kodim03__rep1,3.32435e-07
337.156,tent_block_xor,-0.00137488,-0.00234362,0.00230157,1,7.99979,images/datasets/real/kodak/kodim03.png,real_kodim03,,99.6234,1,full,8.47711e-05,1,full__real_kodim03__rep1,3.32435e-07
31357.1,sine_xor,0.0609699,0.0592008,0.0610386,1,7.98086,images/datasets/real/kodak/kodim03.png,real_kodim03,,99.3009,1,full,8.47711e-05,1,full__real_kodim03__rep1,3.32435e-07
66384,coupled_lattice_xor,0.126677,0.0767096,0.123814,1,7.9593,images/datasets/real/kodak/kodim03.png,real_kodim03,,99.4091,1,full,8.47711e-05,1,full__real_kodim03__rep1,3.32435e-07
13326.6,hamiltonian_lattice_xor,-9.13942e-05,-0.0174211,0.00289319,1,7.99187,images/datasets/real/kodak/kodim03.png,real_kodim03,,99.5316,1,full,8.47711e-05,1,full__real_kodim03__rep1,3.32435e-07
