MBps,bytes,channels,cipher,correct,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
124.847,1179648,3,logistic_xor,1,1.9416,21.546902466307998,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,5.32934,59.142340950656084,full,0.00062,0.006880448871606385,1,full__real_kodim01__rep1,9.01104,scalar_avx2,768
14.4363,1179648,3,logistic_permute_xor,1,1.27188,1.6321156755633062,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,3.93504,5.0495647922513385,full,71.5013,91.75267521555071,1,full__real_kodim01__rep1,77.9283,scalar_avx2,768
118.199,1179648,3,arnold_xor,1,0.370808,3.895934152988815,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,3.86319,40.58902143558084,full,4.84984,50.95536582957022,1,full__real_kodim01__rep1,9.51782,scalar_avx2,768
78.7209,1179648,3,tiled_arnold_xor,1,2.5791,18.04702260163739,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,4.19302,29.34028409488489,full,5.86593,41.04632286054159,1,full__real_kodim01__rep1,14.291,scalar_avx2,768
77.9106,1179648,3,tent_block_xor,1,1.9006,13.162414471314994,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,11.1189,77.00282556303499,full,0.000567,0.003926701570680628,1,full__real_kodim01__rep1,14.4396,scalar_avx2,768
22.5754,1179648,3,sine_xor,1,0.980255,1.9670761000218728,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,48.4094,97.14306354611692,full,0.000893,0.0017919816346966173,1,full__real_kodim01__rep1,49.8331,scalar_avx2,768
73.6131,1179648,3,coupled_lattice_xor,1,0.558465,3.6542538573279413,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,14.3864,94.13581458652324,full,0.000588,0.003847512857759805,1,full__real_kodim01__rep1,15.2826,scalar_avx2,768
11.7719,1179648,3,hamiltonian_lattice_xor,1,0.808469,0.8459717747462773,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,94.2531,98.62525623411452,full,0.00057,0.0005964408178982471,1,full__real_kodim01__rep1,95.5669,scalar_avx2,768
309.107,1179648,3,chaotic_seed_blake3_xor,1,0.560108,15.389611816942894,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,2.64669,72.72085329933617,full,0.000636,0.017474831845957706,1,full__real_kodim01__rep1,3.63952,scalar_avx2,768
339.291,1179648,3,aes_ctr,1,2.96321,89.36798422071695,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,0,0.0,full,0,0.0,1,full__real_kodim01__rep1,3.31574,openssl_evp,768
844.546,1179648,3,chacha20,1,0.708596,53.19470302083959,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,0,0.0,full,0,0.0,1,full__real_kodim01__rep1,1.33208,openssl_evp,768
137.377,1179648,3,logistic_xor,1,1.86781,22.808322221082506,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,4.6953,57.335550898993304,full,0.000697,0.008511251459246126,1,full__real_kodim02__rep1,8.18916,scalar_avx2,768
13.9002,1179648,3,logistic_permute_xor,1,1.85728,2.2947996090656253,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,4.16614,5.147557957503803,full,73.357,90.63771478841481,1,full__real_kodim02__rep1,80.9343,scalar_avx2,768
94.8685,1179648,3,arnold_xor,1,0.541138,4.563292153307754,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,5.52054,46.55344267824767,full,5.31403,44.81199139857487,1,full__real_kodim02__rep1,11.8585,scalar_avx2,768
91.6343,1179648,3,tiled_arnold_xor,1,1.64416,13.39208770800922,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,3.6839,30.006271839440906,full,5.72242,46.610518770719466,1,full__real_kodim02__rep1,12.2771,scalar_avx2,768
76.5921,1179648,3,tent_block_xor,1,2.02482,13.785351506651597,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,10.9897,74.81992347598751,full,0.000573,0.0039010906714233196,1,full__real_kodim02__rep1,14.6882,scalar_avx2,768
22.2763,1179648,3,sine_xor,1,0.920089,1.8218790468534045,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,49.1498,97.32209685914671,full,0.00056,0.0011088625842042524,1,full__real_kodim02__rep1,50.5022,scalar_avx2,768
67.8755,1179648,3,coupled_lattice_xor,1,0.845801,5.103025732299617,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,15.1791,91.58104316872304,full,0.000668,0.004030287489818697,1,full__real_kodim02__rep1,16.5745,scalar_avx2,768
11.4261,1179648,3,hamiltonian_lattice_xor,1,1.026,1.0420559988299722,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,96.8307,98.34601540536588,full,0.000909,0.0009232250515949753,1,full__real_kodim02__rep1,98.4592,scalar_avx2,768
289.732,1179648,3,chaotic_seed_blake3_xor,1,0.598437,15.41211465657112,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,2.78003,71.59674470112544,full,0.000605,0.015581137809369287,1,full__real_kodim02__rep1,3.8829,scalar_avx2,768
324.952,1179648,3,aes_ctr,1,2.97094,85.81447408327436,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,0,0.0,full,0,0.0,1,full__real_kodim02__rep1,3.46205,openssl_evp,768
745.75,1179648,3,chacha20,1,0.646833,42.877796559610225,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,0,0.0,full,0,0.0,1,full__real_kodim02__rep1,1.50855,openssl_evp,768
143.424,1179648,3,logistic_xor,1,1.80131,22.96458631337122,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,4.46694,56.94823721994018,full,0.000537,0.00684611913012216,1,full__real_kodim03__rep1,7.84386,scalar_avx2,768
14.1378,1179648,3,logistic_permute_xor,1,1.30396,1.6386718308195372,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,3.97531,4.995727258332474,full,73.0339,91.78087872702459,1,full__real_kodim03__rep1,79.5742,scalar_avx2,768
90.2053,1179648,3,arnold_xor,1,0.77439,6.209277151906346,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,4.15461,33.312833259832416,full,7.12021,57.09184941667,1,full__real_kodim03__rep1,12.4715,scalar_avx2,768
79.7743,1179648,3,tiled_arnold_xor,1,1.8215,12.91633279677783,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,4.07951,28.927976287555932,full,6.51392,46.190479567162804,1,full__real_kodim03__rep1,14.1023,scalar_avx2,768
82.6442,1179648,3,tent_block_xor,1,1.74855,12.845084700938838,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,10.4957,77.1028312005054,full,0.000573,0.004209335468609964,1,full__real_kodim03__rep1,13.6126,scalar_avx2,768
23.9708,1179648,3,sine_xor,1,0.720734,1.5356919130149447,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,45.7149,97.40625838976224,full,0.000752,0.0016023114194518898,1,full__real_kodim03__rep1,46.9322,scalar_avx2,768
65.9365,1179648,3,coupled_lattice_xor,1,0.982722,5.759745397640356,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,15.6076,91.47633030319014,full,0.000572,0.003352498842450137,1,full__real_kodim03__rep1,17.0619,scalar_avx2,768
11.3301,1179648,3,hamiltonian_lattice_xor,1,0.733828,0.7390523611409051,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,98.0345,98.73243961564297,full,0.00086,0.000866122620806481,1,full__real_kodim03__rep1,99.2931,scalar_avx2,768
308.99,1179648,3,chaotic_seed_blake3_xor,1,0.54674,15.016616770578704,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,2.61939,71.94347551429593,full,0.000517,0.014199785767255349,1,full__real_kodim03__rep1,3.6409,scalar_avx2,768
313.926,1179648,3,aes_ctr,1,3.03403,84.66312279379963,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,0,0.0,full,0,0.0,1,full__real_kodim03__rep1,3.58365,openssl_evp,768
954.391,1179648,3,chacha20,1,0.708007,60.063711018358276,512,images/datasets/real/kodak/kodim03.png,real_kodim03,768x512,0,0.0,full,0,0.0,1,full__real_kodim03__rep1,1.17876,openssl_evp,768
146.126,1179648,3,logistic_xor,1,1.7089,22.19690809760457,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,4.44723,57.76508607812626,full,0.000726,0.00943001654799047,1,full__real_kodim04__rep1,7.69882,scalar_avx2,512
13.3317,1179648,3,logistic_permute_xor,1,2.61858,3.1031344433252355,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,4.29158,5.0857142857142845,full,75.8646,89.90294483616755,1,full__real_kodim04__rep1,84.385,scalar_avx2,512
116.743,1179648,3,arnold_xor,1,0.462036,4.794625456854846,768,images/datasets/real/kodak/kodim04.png,real_kodim04,512x768,3.97647,41.264499498782754,full,4.63211,48.06818629923188,1,full__real_kodim04__rep1,9.63654,scalar_avx2,512
