MBps,bytes,category,channels,checksum,expected_speed,height,image,image_kind,image_size,mode,ms,repeat,research_value,run_id,stage,width
167.987,1179648,keystream,3,16352428071501016112,slow,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,6.69696,1,baseline,stages__real_kodim01__rep1,logistic_double,768
20.1393,1179648,keystream,3,3229335138050633222,very slow,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,55.861,1,bad baseline,stages__real_kodim01__rep1,sine_map,768
127.613,1179648,keystream,3,547275334597606753,high,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,8.81571,1,useful,stages__real_kodim01__rep1,fixed_point_tent,768
57.1817,1179648,keystream,3,551434269804455751,medium-high,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,19.6741,1,chaos-native SIMD,stages__real_kodim01__rep1,cml,768
299.083,1179648,keystream,3,6408282267245646781,very high,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,3.7615,1,fastest,stages__real_kodim01__rep1,cellular_automata,768
10.6169,1179648,keystream,3,10367332591215019916,medium,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,105.963,1,physics novelty,stages__real_kodim01__rep1,hamiltonian,768
48.9584,1179648,keystream,3,7386139916934624047,low-medium,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,22.9787,1,physics novelty,stages__real_kodim01__rep1,reaction_diffusion,768
4.10135,1179648,permutation,3,16847404847799859452,O(N log N),512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,274.3,1,poor,stages__real_kodim01__rep1,chaotic_sort,768
54.274,1179648,permutation,3,3492323446655027980,O(N) sequential,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,20.7281,1,poor,stages__real_kodim01__rep1,random_walk,768
166.623,1179648,permutation,3,15020652156865487048,O(N),512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,6.75175,1,good,stages__real_kodim01__rep1,arnold_cat_map,768
69.1104,1179648,permutation,3,8396590780496574464,O(N),512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,16.2783,1,excellent,stages__real_kodim01__rep1,affine_modular,768
56.7162,1179648,permutation,3,15609884752337220354,O(rN),512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,19.8356,1,excellent,stages__real_kodim01__rep1,feistel_index,768
470.324,1179648,permutation,3,14312635170606156286,O(N),512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,2.39197,1,excellent,stages__real_kodim01__rep1,block_permutation,768
194.085,1179648,permutation,3,15857168517568068246,O(rN),512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,5.79644,1,excellent,stages__real_kodim01__rep1,checkerboard_swaps,768
224.835,1179648,diffusion,3,6591349013441198235,sequential,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,5.00368,1,poor,stages__real_kodim01__rep1,global_chain,768
263.364,1179648,diffusion,3,1969011375799129683,block-level,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,4.27166,1,good,stages__real_kodim01__rep1,block_local_chain,768
274.359,1179648,diffusion,3,13300944023303519639,reduced,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,4.10047,1,medium,stages__real_kodim01__rep1,parallel_prefix,768
176.262,1179648,diffusion,3,562992322384545712,none per round,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,6.38255,1,high,stages__real_kodim01__rep1,stencil_diffusion,768
407.448,1179648,diffusion,3,1646559052329375624,none,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,2.76109,1,excellent,stages__real_kodim01__rep1,arx_block_diffusion,768
274.222,1179648,diffusion,3,755697673882373976,none,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,4.10252,1,excellent,stages__real_kodim01__rep1,bitplane_diffusion,768
339.41,1179648,diffusion,3,6591349013441198235,associative scan,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,3.31457,1,excellent,stages__real_kodim01__rep1,prefix_xor_avx2,768
278.909,1179648,diffusion,3,8616720350908420804,associative scan,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,4.03357,1,excellent,stages__real_kodim01__rep1,reverse_prefix_xor_avx2,768
494.152,1179648,diffusion,3,12803407377962235393,lane-local,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,2.27663,1,excellent,stages__real_kodim01__rep1,multilane_chain_avx2,768
467.717,1179648,diffusion,3,3384645956777286117,logarithmic,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,2.4053,1,excellent,stages__real_kodim01__rep1,tree_xor_avx2,768
171.142,1179648,diffusion,3,14423417734901921525,multi-pass associative,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,6.57348,1,excellent,stages__real_kodim01__rep1,prefix_tree_reverse,768
226.993,1179648,diffusion,3,2044318285793902283,prefix sum mod 256,512,images/datasets/real/kodak/kodim01.png,real_kodim01,768x512,stages,4.95611,1,medium-high,stages__real_kodim01__rep1,arx_prefix_mod256,768
161.129,1179648,keystream,3,16352428071501016112,slow,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,6.982,1,baseline,stages__real_kodim02__rep1,logistic_double,768
21.9076,1179648,keystream,3,3229335138050633222,very slow,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,51.3521,1,bad baseline,stages__real_kodim02__rep1,sine_map,768
126.281,1179648,keystream,3,547275334597606753,high,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,8.90872,1,useful,stages__real_kodim02__rep1,fixed_point_tent,768
57.1291,1179648,keystream,3,551434269804455751,medium-high,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,19.6923,1,chaos-native SIMD,stages__real_kodim02__rep1,cml,768
271.38,1179648,keystream,3,6408282267245646781,very high,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,4.14548,1,fastest,stages__real_kodim02__rep1,cellular_automata,768
11.0231,1179648,keystream,3,10367332591215019916,medium,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,102.058,1,physics novelty,stages__real_kodim02__rep1,hamiltonian,768
47.5015,1179648,keystream,3,7386139916934624047,low-medium,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,23.6834,1,physics novelty,stages__real_kodim02__rep1,reaction_diffusion,768
4.20793,1179648,permutation,3,3926799114098917032,O(N log N),512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,267.352,1,poor,stages__real_kodim02__rep1,chaotic_sort,768
56.0628,1179648,permutation,3,13407486088823026274,O(N) sequential,512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,20.0668,1,poor,stages__real_kodim02__rep1,random_walk,768
170.561,1179648,permutation,3,10415541989909939728,O(N),512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,6.5959,1,good,stages__real_kodim02__rep1,arnold_cat_map,768
70.6869,1179648,permutation,3,3138481027689940520,O(N),512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,15.9153,1,excellent,stages__real_kodim02__rep1,affine_modular,768
58.1456,1179648,permutation,3,9060175925892806710,O(rN),512,images/datasets/real/kodak/kodim02.png,real_kodim02,768x512,stages,19.348,1,excellent,stages__real_kodim02__rep1,feistel_index,768
