image,cipher,entropy,chi_square,corr_h,corr_v,corr_d,npcr,uaci,key_sensitivity,kpa_score,cpa_score
images/sample.png,logistic_xor,7.99978,241.621,-0.0344228,0.00590661,0.00334676,0.000127157,4.98653e-07,99.3804,1,1
images/sample.png,logistic_permute_xor,7.99981,202.886,0.000137074,0.00184819,-0.00019107,0.000127157,4.98653e-07,99.6044,0.999997,0.00385793
images/sample.png,arnold_xor,7.99971,313.71,-0.0382018,0.00422178,0.00471807,0.000127157,4.98653e-07,99.3804,1,0.00390625
images/sample.png,tiled_arnold_xor,7.99976,258.702,-0.0301334,0.00511607,0.00611647,0.000127157,4.98653e-07,99.3804,1,0.0120443
images/sample.png,tent_block_xor,7.99977,250.492,-0.00142862,-0.00045819,0.0008128,0.000127157,4.98653e-07,99.625,1,1
images/sample.png,sine_xor,7.99977,247.591,-0.0737673,0.0787704,0.072235,0.000127157,4.98653e-07,99.2976,1,1
images/sample.png,coupled_lattice_xor,7.9998,217.504,0.0291787,0.146393,0.148195,0.000127157,4.98653e-07,99.4114,1,1
images/sample.png,hamiltonian_lattice_xor,7.99981,207.2,-0.00151193,0.00140232,0.00263408,0.000127157,4.98653e-07,99.5286,1,1
images/sample.png,chaotic_seed_blake3_xor,7.99978,242.003,-0.000586946,-3.30539e-05,-0.000290267,0.000127157,4.98653e-07,99.6124,1,1
images/sample.png,aes_ctr,7.99977,254.751,0.00480064,0.00089151,-0.000796251,0.000127157,4.98653e-07,99.6067,1,1
images/sample.png,chacha20,7.99972,303.271,-0.000189273,0.000263248,0.00218938,0.000127157,4.98653e-07,99.6176,1,1
